trial_name,real_time_seconds,user_time_seconds,sys_time_seconds,throughput_bytes_per_second,file_size_name,file_size_bytes,delta_size_bytes,speedup,trial_num
Minix3, 0.40, 0.11, 0.12, 1393734.00, small, 4003880, 2071071, 1.92, 6
Minix3, 0.38, 0.11, 0.12, 4181202.00, small, 4003880, 2071071, 1.92, 7
Minix3, 0.38, 0.11, 0.12, 4181202.00, small, 4003880, 2071071, 1.92, 8
Minix3, 0.38, 0.11, 0.12, 1393734.00, small, 4003880, 2071071, 1.92, 9
Minix3, 0.38, 0.11, 0.12, 4181202.00, small, 4003880, 2071071, 1.92, 10
Minix3, 0.41, 0.12, 0.12, 4181202.00, small, 4003880, 2071071, 1.92, 11
Minix3, 0.40, 0.12, 0.13, 1393734.00, small, 4003880, 2071071, 1.92, 12
Minix3, 0.40, 0.11, 0.12, 4181202.00, small, 4003880, 2071071, 1.92, 13
Minix3, 0.40, 0.11, 0.12, 4181202.00, small, 4003880, 2071071, 1.92, 14
Minix3, 0.38, 0.11, 0.12, 1393734.00, small, 4003880, 2071071, 1.92, 15
Minix3, 0.38, 0.11, 0.12, 4181202.00, small, 4003880, 2071071, 1.92, 16
Minix3, 0.42, 0.12, 0.13, 4181202.00, small, 4003880, 2071071, 1.92, 17
Minix3, 0.40, 0.11, 0.12, 1393734.00, small, 4003880, 2071071, 1.92, 18
Minix3, 0.40, 0.11, 0.12, 4181202.00, small, 4003880, 2071071, 1.92, 19
Minix3, 0.40, 0.11, 0.13, 4181202.00, small, 4003880, 2071071, 1.92, 20
Minix3, 0.38, 0.11, 0.12, 1393734.00, small, 4003880, 2071071, 1.92, 21
Minix3, 0.38, 0.11, 0.12, 4181202.00, small, 4003880, 2071071, 1.92, 22
Minix3, 0.38, 0.11, 0.12, 4181202.00, small, 4003880, 2071071, 1.92, 23
Minix3, 0.40, 0.11, 0.12, 1393734.00, small, 4003880, 2071071, 1.92, 24
Minix3, 0.38, 0.11, 0.12, 4181202.00, small, 4003880, 2071071, 1.92, 25
Minix3, 0.40, 0.12, 0.12, 4181202.00, small, 4003880, 2071071, 1.92, 26
Minix3, 0.38, 0.11, 0.12, 1393734.00, small, 4003880, 2071071, 1.92, 27
Minix3, 0.38, 0.11, 0.12, 4181202.00, small, 4003880, 2071071, 1.92, 28
Minix3, 0.40, 0.11, 0.12, 4181202.00, small, 4003880, 2071071, 1.92, 29
Minix3, 0.40, 0.11, 0.12, 1393734.00, small, 4003880, 2071071, 1.92, 30
Minix3, 0.28, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 1
Minix3, 0.28, 0.08, 0.08, 2105808.00, tiny, 1995352, 1041816, 1.90, 2
Minix3, 0.28, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 3
Minix3, 0.28, 0.08, 0.08, 2105808.00, tiny, 1995352, 1041816, 1.90, 4
Minix3, 0.28, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 5
Minix3, 0.28, 0.08, 0.09, 701936.00, tiny, 1995352, 1041816, 1.90, 6
Minix3, 0.28, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 7
Minix3, 0.28, 0.08, 0.08, 701936.00, tiny, 1995352, 1041816, 1.90, 8
Minix3, 0.29, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 9
Minix3, 0.28, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 10
Minix3, 0.28, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 11
Minix3, 0.28, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 12
Minix3, 0.28, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 13
Minix3, 0.28, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 14
Minix3, 0.28, 0.08, 0.09, 701936.00, tiny, 1995352, 1041816, 1.90, 15
Minix3, 0.30, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 16
Minix3, 0.30, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 17
Minix3, 0.32, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 18
Minix3, 0.30, 0.08, 0.09, 701936.00, tiny, 1995352, 1041816, 1.90, 19
Minix3, 0.28, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 20
Minix3, 0.28, 0.08, 0.09, 701936.00, tiny, 1995352, 1041816, 1.90, 21
Minix3, 0.28, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 22
Minix3, 0.28, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 23
Minix3, 0.28, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 24
Minix3, 0.28, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 25
Minix3, 0.28, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 26
Minix3, 0.28, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 27
Minix3, 0.28, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 28
Minix3, 0.28, 0.08, 0.08, 2105808.00, tiny, 1995352, 1041816, 1.90, 29
Minix3, 0.28, 0.08, 0.09, 701936.00, tiny, 1995352, 1041816, 1.90, 30
