trial_name,real_time_seconds,user_time_seconds,sys_time_seconds,throughput_bytes_per_second,file_size_name,file_size_bytes,delta_size_bytes,speedup,trial_num
Fedora, 0.36, 0.13, 0.14, 4181202.00, small, 4003880, 2071071, 1.92, 6
Fedora, 0.36, 0.13, 0.13, 4181202.00, small, 4003880, 2071071, 1.92, 7
Fedora, 0.36, 0.13, 0.13, 1393734.00, small, 4003880, 2071071, 1.92, 8
Fedora, 0.36, 0.13, 0.13, 4181202.00, small, 4003880, 2071071, 1.92, 9
Fedora, 0.36, 0.13, 0.13, 4181202.00, small, 4003880, 2071071, 1.92, 10
Fedora, 0.36, 0.12, 0.13, 1393734.00, small, 4003880, 2071071, 1.92, 11
Fedora, 0.35, 0.13, 0.13, 4181202.00, small, 4003880, 2071071, 1.92, 12
Fedora, 0.36, 0.13, 0.13, 4181202.00, small, 4003880, 2071071, 1.92, 13
Fedora, 0.35, 0.12, 0.13, 1393734.00, small, 4003880, 2071071, 1.92, 14
Fedora, 0.35, 0.13, 0.13, 4181202.00, small, 4003880, 2071071, 1.92, 15
Fedora, 0.36, 0.12, 0.13, 4181202.00, small, 4003880, 2071071, 1.92, 16
Fedora, 0.36, 0.12, 0.13, 1393734.00, small, 4003880, 2071071, 1.92, 17
Fedora, 0.36, 0.12, 0.13, 4181202.00, small, 4003880, 2071071, 1.92, 18
Fedora, 0.36, 0.12, 0.13, 4181202.00, small, 4003880, 2071071, 1.92, 19
Fedora, 0.36, 0.13, 0.13, 1393734.00, small, 4003880, 2071071, 1.92, 20
Fedora, 0.36, 0.13, 0.13, 4181202.00, small, 4003880, 2071071, 1.92, 21
Fedora, 0.35, 0.12, 0.13, 4181202.00, small, 4003880, 2071071, 1.92, 22
Fedora, 0.35, 0.12, 0.13, 1393734.00, small, 4003880, 2071071, 1.92, 23
Fedora, 0.36, 0.12, 0.13, 4181202.00, small, 4003880, 2071071, 1.92, 24
Fedora, 0.37, 0.13, 0.13, 4181202.00, small, 4003880, 2071071, 1.92, 25
Fedora, 0.36, 0.12, 0.13, 1393734.00, small, 4003880, 2071071, 1.92, 26
Fedora, 0.36, 0.12, 0.13, 4181202.00, small, 4003880, 2071071, 1.92, 27
Fedora, 0.36, 0.13, 0.13, 4181202.00, small, 4003880, 2071071, 1.92, 28
Fedora, 0.36, 0.13, 0.13, 1393734.00, small, 4003880, 2071071, 1.92, 29
Fedora, 0.37, 0.12, 0.13, 4181202.00, small, 4003880, 2071071, 1.92, 30
Fedora, 0.30, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 1
Fedora, 0.30, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 2
Fedora, 0.30, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 3
Fedora, 0.30, 0.09, 0.09, 701936.00, tiny, 1995352, 1041816, 1.90, 4
Fedora, 0.30, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 5
Fedora, 0.31, 0.09, 0.09, 701936.00, tiny, 1995352, 1041816, 1.90, 6
Fedora, 0.31, 0.10, 0.10, 2105808.00, tiny, 1995352, 1041816, 1.90, 7
Fedora, 0.31, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 8
Fedora, 0.30, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 9
Fedora, 0.30, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 10
Fedora, 0.29, 0.09, 0.09, 701936.00, tiny, 1995352, 1041816, 1.90, 11
Fedora, 0.30, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 12
Fedora, 0.30, 0.09, 0.09, 701936.00, tiny, 1995352, 1041816, 1.90, 13
Fedora, 0.30, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 14
Fedora, 0.29, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 15
Fedora, 0.30, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 16
Fedora, 0.29, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 17
Fedora, 0.29, 0.09, 0.09, 701936.00, tiny, 1995352, 1041816, 1.90, 18
Fedora, 0.30, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 19
Fedora, 0.29, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 20
Fedora, 0.30, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 21
Fedora, 0.29, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 22
Fedora, 0.30, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 23
Fedora, 0.29, 0.08, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 24
Fedora, 0.30, 0.09, 0.09, 701936.00, tiny, 1995352, 1041816, 1.90, 25
Fedora, 0.37, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 26
Fedora, 0.30, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 27
Fedora, 0.30, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 28
Fedora, 0.30, 0.09, 0.09, 2105808.00, tiny, 1995352, 1041816, 1.90, 29
Fedora, 0.30, 0.09, 0.09, 701936.00, tiny, 1995352, 1041816, 1.90, 30
